Police;Montant
1000113146;3268
1000113147;213
1000113148;10890
1000113149;6678
1000113151;81
1000113154;5659
1000113155;1941
1000113156;1444
1000113157;1186
1000113159;4102
1000113160;3883
1000113161;10476
1000113162;2826
1000113163;2061
1000113164;63
1000113165;23184
1000113166;1591
1000113168;81
1000113169;1
1000113171;4378
1000113172;47
1000113173;5543
1000113175;30404
1000113176;3076
1000113178;19290
1000113180;23778
1000113181;152850
1000113182;3756
1000113183;34890
1000113184;102527
1000113185;8378
1000113186;54719
1000113187;202087
1000113188;2124
1000113189;35924
1000113190;1038
1000113191;972
1000113192;2551
1000114101;17
1000114102;1449
1000114103;1685
1000114104;7329
1000114105;2771
1000114106;1280
1000114107;3116
1000114110;20343
1000114111;39
1000114113;8972
1000114115;2941
1000114117;2944
1000114118;6898
1000114121;5779
1000114123;23830
1000114124;3199
1000114125;10563
1000114126;1621
1000114127;34
1000114128;43172
1000114129;4203
1000114130;1463
1000114131;8
1000114132;52
1000114133;2949
1000114136;5275
1000114137;9706
1000114138;1819
1000114139;6814
1000114142;1930
1000114143;12880
1000114144;3109
1000114145;3076
1000114146;3212
1000114147;23404
1000114153;1202
1000114154;2687
1000115101;493129
1000115105;3727
1000115106;3768
1000115107;4
1000115108;166
1000115109;4617
1000115112;16945
1000115113;1580
1000115114;16591
1000115118;3074
1000115120;10094
1000115121;32
1000115122;2861
1000115124;1995
1000115126;8242
1000115128;1308
1000115129;2260
1000115130;7579
1000115131;2295
1000115134;4915
1000115135;919
1000115136;2765
1000115137;11203
1000115138;3429
1000115139;3257
1000115140;1069
1000115141;7698
1000115142;765
1000210001;28387
1000210004;4623
1000210005;34023
1000210007;8653
1000210008;29928
1000210009;40653
1000210010;1716
1000210011;2142
1000210012;36410
1000210013;8211
1000210014;31777
1000210015;12865
1000210016;12029
1000210017;1988
1000210018;1359343
1000210019;2678
1000210020;4455
1000210021;3505
1000210022;18275
1000210023;4080
1000210024;4979
1000210026;6980
1000210027;6404
1000210028;154301
1000210029;14642
1000210030;2310
1000210031;1036
1000210032;135870
1000210033;953
1000210034;107462
1000210035;105816
1000210036;4912
1000210037;9164
1000210038;7126
1000210040;9165
1000210041;180
1000210044;78
1000210045;5
1000210046;11166
1000210047;77977
1000210048;101715
1000210049;39420
1000210050;5141
1000210051;60
1000210052;2857
1000210053;14106
1000210054;18920
1000210055;21544
1000210056;3035
1000210057;7942
1000210058;15351
1000210059;8803
1000210060;1284
1000210061;9301
1000210062;6796
1000210063;11
1000210064;4498
1000210065;32254
1000210066;3
1000210067;10136
1000210068;8120
1000210069;592383
1000210071;9163
1000210072;331447
1000210073;11352
1000210074;3246
1000210075;9725
1000210076;11241
1000210077;2260
1000210078;4028
1000210079;6252
1000210080;5739
1000210081;24460
1000210082;7692
1000210083;7942
1000210084;6067
1000210085;7658
1000210086;10859
1000210087;15283
1000210088;6849
1000210089;114263
1000210090;14932
1000210092;39021
1000210093;5900
1000210094;16454
1000210096;1835
1000210097;11641
1000210098;9573
1000210099;1359
1000210100;47099
1000210101;6475
1000210102;15040
1000210104;9549
1000210105;2440
1000210106;9953
1000210107;2528
1000210108;9820
1000210109;1190
1000210111;21241
1000210112;21451
1000210113;4122
1000210114;2793
1000210115;6900
1000210116;35278
1000210117;2384
1000210118;1050
1000210119;8586
1000210120;25995
1000210121;3245
1000210122;7127
1000210123;5309
1000210125;33
1000210126;8
1000210127;20072
1000210128;2532
1000210129;56
1000210132;438
1000210133;5829
1000210134;1585
1000210135;17618
1000210136;8526
1000210137;30164
1000210138;6441
1000210139;2918
1000210140;3037
1000210141;8394
1000210142;3751
1000210143;16064
1000210144;3142
1000210145;3328
1000210146;9684
1000210147;2811
1000210149;4156
1000210150;10455
1000210151;1988
1000210152;1611
1000210153;3581
1000210154;1823
1000210155;6423
1000210156;1637
1000210157;2599
1000210158;4171
1000210159;13396
1000210160;249813
1000210161;8086
1000210162;5216
1000210163;515
1000210164;5225
1000210165;4259
1000210166;968
1000210167;4274
1000210168;17106
1000210169;3469
1000210171;3542
1000210172;3999
1000210173;1172
1000210174;4216
1000210175;67551
1000210176;682
1000210177;45
1000210178;3622
1000210179;8150
1000210180;1415
1000210181;3086
1000210182;3598
1000210183;2333
1000210184;4402
1000210185;2970
1000210186;14469
1000210187;2775
